hour,window_hour,branch,from_bus,to_bus,flow_mw,limit_mw,loading
6325,13,4,Ewa-Central,Honolulu,281.27347554028813,600.0,0.4687891259004802
6325,13,5,Honolulu,Koolaupoko,-16.10442139207289,200.0,0.08052210696036445
6325,13,6,Waianae,Waialua,148.1485923570134,200.0,0.740742961785067
6325,13,7,Waialua,Wahiawa,17.03867875002549,200.0,0.08519339375012745
6325,13,8,Wahiawa,Ewa-Central,-13.533487182004508,400.0,0.03383371795501127
6325,13,9,Waialua,Koolauloa,121.1558729500259,200.0,0.6057793647501295
6325,13,10,Koolauloa,Koolaupoko,105.0881449511549,200.0,0.5254407247557745
6326,14,1,Kahe,Ewa-West,116.62928940105999,400.0,0.29157322350264997
6326,14,2,Kahe,Waianae,189.8511712029001,200.0,0.9492558560145006
6326,14,3,Ewa-West,Ewa-Central,400.0,400.0,1.0
6326,14,4,Ewa-Central,Honolulu,288.349260242473,600.0,0.4805821004041217
6326,14,5,Honolulu,Koolaupoko,-16.262213929196005,200.0,0.08131106964598002
6326,14,6,Waianae,Waialua,150.7954013355271,200.0,0.7539770066776355
6326,14,7,Waialua,Wahiawa,16.730240775796016,200.0,0.08365120387898008
6326,14,8,Wahiawa,Ewa-Central,-14.585578689073984,400.0,0.03646394672268496
6326,14,9,Waialua,Koolauloa,123.868992553433,200.0,0.619344962767165
6326,14,10,Koolauloa,Koolaupoko,107.410424640974,200.0,0.53705212320487
6327,15,1,Kahe,Ewa-West,116.9483472143,400.0,0.29237086803575
6327,15,2,Kahe,Waianae,191.1881073398915,200.0,0.9559405366994576
6327,15,3,Ewa-West,Ewa-Central,400.0,400.0,1.0
6327,15,4,Ewa-Central,Honolulu,292.74237299092374,600.0,0.4879039549848729
6327,15,5,Honolulu,Koolaupoko,-16.163918800271258,200.0,0.08081959400135628
6327,15,6,Waianae,Waialua,151.5816772945765,200.0,0.7579083864728825
6327,15,7,Waialua,Wahiawa,15.953869273880294,200.0,0.07976934636940147
6327,15,8,Wahiawa,Ewa-Central,-15.803482255969705,400.0,0.039508705639924264
6327,15,9,Waialua,Koolauloa,125.28788087950625,200.0,0.6264394043975312
6327,15,10,Koolauloa,Koolaupoko,108.59725819086125,200.0,0.5429862909543063
6328,16,1,Kahe,Ewa-West,102.30597354538645,400.0,0.2557649338634661
6328,16,2,Kahe,Waianae,195.40986445461357,200.0,0.9770493222730678
6328,16,3,Ewa-West,Ewa-Central,383.07992762382645,400.0,0.9576998190595661
6328,16,4,Ewa-Central,Honolulu,325.4053383067854,600.0,0.5423422305113089
6328,16,5,Honolulu,Koolaupoko,-14.16091582970861,200.0,0.07080457914854305
6328,16,6,Waianae,Waialua,151.87236636021558,200.0,0.7593618318010779
6328,16,7,Waialua,Wahiawa,6.390378590096979,200.0,0.031951892950484895
6328,16,8,Wahiawa,Ewa-Central,-28.518994209523022,400.0,0.07129748552380756
6328,16,9,Waialua,Koolauloa,134.1157889561706,200.0,0.670578944780853
